method,campaign_id,iteration,run_id,candidate_id,status,feasible,campaign_pareto,combined_pareto,proposal_call,proposal_status,proposal_model,random_seed,model,quantization,backend,temperature,max_output_tokens,cpu_threads,batch_size,cpu_model,cores,frequency_ghz,issue_width,l1i_cache_kib,l1i_associativity,l1i_latency_cycles,l1d_cache_kib,l1d_associativity,l1d_latency_cycles,l2_cache_kib,l2_associativity,l2_latency_cycles,memory_type,memory_size_mib,query_heads,kv_heads,head_dimension,context_tokens,kernel_iterations,native_latency_ms,proxy_simulated_seconds,estimated_cache_dynamic_energy_uj,answer_quality_loss,answer_quality,question_count,sample_count,throughput_qps,aggregate_ipc,instructions,sim_ticks,l2_miss_rate,average_dram_access_latency_ns,energy_scope
random,confirmatory-250q-random-seed20260922-10-20260922T182341Z,1,run-3f7f217c9cb649d3a449fb7cbbfe9149,3597b07c26dc2102b496577d4c8f81c3814e78e36a52f3837ff45db99aa36b50,completed,True,True,False,1,accepted,,20260922,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0,256,4,1,RiscvO3CPU,2,1,4,16,2,2,16,8,2,256,4,20,DDR3_1600_8x8,16,14,2,64,512,10,1265.3628295083763,0.071288,16839.4349805602,0.56,0.44,250,250,0.7649747156312758,2.7700887397019667,197462665,71287787000,0.038287,31.404429999999998,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
random,confirmatory-250q-random-seed20260922-10-20260922T182341Z,2,run-225a875c1305442eafe8fa7fa1762f42,3fbd6776d457fe8963536804358c0de401bca6bbb4f987a0d5a27579c40b88f6,completed,True,True,True,2,accepted,,20260922,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0.2,256,4,1,RiscvO3CPU,2,3,2,16,2,2,64,2,2,512,8,20,DDR3_1600_8x8,16,14,2,64,512,10,1277.2139474982396,0.02897,7007.79389151394,0.556,0.444,250,250,0.7628113099246535,2.270020149864372,197462665,28969839162,0.074289,31.74067,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
random,confirmatory-250q-random-seed20260922-10-20260922T182341Z,3,run-26216e1431f44bfab47e0d6a375bbbef,6d4adaf54f044d89d789112959b08c5cda4843fbd367b7a1f0c27edd7997f492,completed,True,True,False,3,accepted,,20260922,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0,384,4,1,RiscvO3CPU,2,3,4,16,2,2,32,2,2,512,4,20,DDR3_1600_8x8,16,14,2,64,512,10,1288.7210674962262,0.025083,6718.28220426997,0.56,0.44,250,250,0.7531063237328406,2.6217855114169346,197462665,25083062496,0.039112,29.35809,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
random,confirmatory-250q-random-seed20260922-10-20260922T182341Z,4,run-fce78f259d0140f59d924e43f0770996,4f59dd36db1cf9526495f022581847203b7317cc98e5ffc9f59984fbdfff8988,completed,True,True,False,4,accepted,,20260922,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0.2,256,4,1,RiscvO3CPU,2,4,2,16,2,2,64,8,2,1024,8,20,DDR3_1600_8x8,16,14,2,64,512,10,1278.3760229940526,0.022871,18171.8807754565,0.56,0.44,250,250,0.7448651430005969,2.158725998026147,197462665,22870907750,0.040616,29.450810000000004,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
random,confirmatory-250q-random-seed20260922-10-20260922T182341Z,5,run-d2fb2e0d1daf4eed905822b14e4a76c2,d02e3f75e1daa2b69caabf148b5268ff4c4ed6e38501ad40e93bbb5ebe7e58b9,completed,True,True,False,5,accepted,,20260922,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0.5,128,4,1,RiscvO3CPU,2,4,2,16,2,2,64,4,2,512,4,20,DDR3_1600_8x8,16,14,2,64,512,10,1294.461790501373,0.022403,9440.396479220999,0.5680000000000001,0.432,250,250,0.7327248793070943,2.203845735916281,197462665,22402720750,0.052389,29.29304,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
random,confirmatory-250q-random-seed20260922-10-20260922T182341Z,6,run-c4c156e334c842fc8d182eae03e7ed42,66a07d93cd5ba3c56a22798d1d8733179bfbf1fa4c7f3d4c02eb4c1ec504c7ec,completed,True,False,False,6,accepted,,20260922,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0.2,128,4,1,RiscvO3CPU,2,3,1,16,2,2,32,4,2,1024,16,20,DDR3_1600_8x8,16,14,2,64,512,10,1302.8239225095604,0.047097,9390.29462354243,0.56,0.44,250,250,0.7441069512349513,1.57227941902631,197462665,47096757765,0.03274,30.79853,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
random,confirmatory-250q-random-seed20260922-10-20260922T182341Z,7,run-4566a7179f27455a9e12dafd0e4564ab,a9b3b4f794665a1fd48d9613c9c828ccd0ec42565c1d8be246201f3d3ca12c7b,completed,True,False,False,7,accepted,,20260922,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0.5,128,4,1,RiscvTimingSimpleCPU,2,2,1,16,2,2,16,4,2,1024,16,20,DDR3_1600_8x8,16,14,2,64,512,10,1394.8951395141194,0.181933,30800.907533947,0.5920000000000001,0.408,250,250,0.6704006062894468,0.542678868921896,197462665,181933254000,0.037245,29.63749,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
random,confirmatory-250q-random-seed20260922-10-20260922T182341Z,8,run-fdfa5fbd7cae4b7a80881adaff837536,62d84636e8872f9ddeebe87b7e89824543e2218d0c43eb87b95f739dcf6c3b61,completed,True,True,False,8,accepted,,20260922,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0.5,384,4,1,RiscvO3CPU,2,3,2,16,2,2,32,4,2,1024,4,20,DDR3_1600_8x8,16,14,2,64,512,10,1276.186137489276,0.029344,8619.620282489139,0.5720000000000001,0.428,250,250,0.7606242048541397,2.5425982469313984,197462665,29344129164,0.034457,31.69794,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
random,confirmatory-250q-random-seed20260922-10-20260922T182341Z,9,run-801bef1fe3e74639a227a708325bc2c1,879b3d0aec39310c9b53c63ef3c8ce35b1d070662b9084ced26da8b37997ab3d,completed,True,True,False,9,accepted,,20260922,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0.5,128,4,1,RiscvO3CPU,2,2,1,16,2,2,64,8,2,1024,8,20,DDR3_1600_8x8,16,14,2,64,512,10,1267.4358554941136,0.070097,19283.924643506496,0.5920000000000001,0.408,250,250,0.746049101229754,1.4085698527333914,197462665,70096611000,0.040979,30.231150000000003,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
random,confirmatory-250q-random-seed20260922-10-20260922T182341Z,10,run-27fb5d6c206c4c02a9b583d2bb6c946a,af698f200866f0a89a5516b085eb1839769c41c49688369cc746a6cf2b1de160,completed,True,False,False,10,accepted,,20260922,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0.5,256,4,1,RiscvO3CPU,2,4,1,16,2,2,32,4,2,512,16,20,DDR3_1600_8x8,16,14,2,64,512,10,1280.2845605037874,0.035644,9369.360159123002,0.5800000000000001,0.42,250,250,0.7509563528466345,1.5501562350499396,197462665,35643699500,0.032898,30.625560000000004,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
